,Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Inventory
99,Apr 2019,56,"9,074,455","162,044","162,250",268,4.3
100,May 2019,83,"14,200,948","171,096","147,900",284,4.5
101,Jun 2019,57,"9,958,685","174,714","169,900",286,4.6
102,Jul 2019,84,"16,241,371","193,350","188,000",271,4.3
103,Aug 2019,85,"17,893,350","210,510","208,000",261,4.1
104,Sep 2019,63,"11,046,123","175,335","164,950",258,4.0
105,Oct 2019,99,"17,793,789","179,735","175,900",253,3.9
106,Nov 2019,60,"10,592,175","176,536","156,950",258,3.9
107,Dec 2019,48,"9,503,825","197,996","185,000",230,3.5
108,Jan 2020,54,"9,588,545","177,566","161,500",257,3.9
109,Feb 2020,50,"8,455,325","169,106","160,000",269,4.0
110,Mar 2020,70,"12,841,859","183,455","167,000",273,4.0
111,Apr 2020,38,"5,942,507","156,382","165,000",280,4.2
