,Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Inventory
99,Apr 2019,33,"4,693,500","142,227","147,500",170,5.1
100,May 2019,41,"6,273,119","153,003","120,000",174,5.2
101,Jun 2019,26,"3,038,506","116,866","97,500",169,5.1
102,Jul 2019,49,"7,394,100","150,900","118,500",166,5.1
103,Aug 2019,61,"8,165,537","133,861","126,000",151,4.5
104,Sep 2019,31,"4,207,650","135,731","139,000",154,4.5
105,Oct 2019,38,"4,948,456","130,223","111,875",143,4.0
106,Nov 2019,46,"7,773,191","168,982","138,750",145,4.1
107,Dec 2019,20,"2,961,300","148,065","139,900",129,3.6
108,Jan 2020,26,"4,222,395","162,400","170,750",133,3.7
109,Feb 2020,24,"3,119,850","129,994","101,875",121,3.4
110,Mar 2020,32,"5,674,453","177,327","171,500",109,3.1
111,Apr 2020,29,"4,981,920","171,790","132,250",102,2.9
